,premise,hypothesis,label
3466,Two people stand looking at a large blue-lit display for the Wii console which includes the game units and large TV screens.,A group of people are sitting in a restaurant.,2
3467,A african american woman wearing yellow walks down the sidewalk towards a yellow car.,There is a man sitting in a red car,2
3468,A young musician performs in front of a skyline.,"An old musician decides he will no longer play music, as it reminds him of his youth.",2
3469,A girl in a yellow shirt jumping over a hurdle.,The girl is wearing a green shirt.,2
3470,a man is being photographed by another man while others around him are preparing for a parade,There is news coverage including photography of a local parade.,1
3471,A man is grocery shopping.,A man pushes a shopping cart as he shops for groceries.,1
3472,"Two people run and dive, one has a frisbee.",Two people run and dive,0
3473,two hockey players are fighting for a puck,The hockey players are hitting each other.,1
3474,A bald man climbing rocks.,There is a group of women carying a man up rocks.,2
3475,Five individuals holding instruments and practicing music together next to a building.,The five people are part of the same band.,0
3476,A group of people sitting a table covered with alcoholic beverages.,A group of people sitting at a table covered with alcoholic beverages after a big party.,1
3477,A blond-haired little boy wearing a black and white T-shirt smiles as he holds a lizard in his hand.,the boy is asian,1
3478,This a man on a boat in calm water surrounded by trees.,A man is fishing on a boat in calm water.,1
3479,A man is standing in front of a small red object that looks like a plane.,There is a man in the foreground.,0
3480,A child with a yellow balloon walks through a fair.,The boy has only one hand free to hold the cotton candy.,1
3481,Merchants and customers at a market.,A group of people are browsing a merchant's wares,0
3482,A busy pizza shop is located on a heavily trafficked street corner.,A goldfish swims lazily in a little bowl,2
3483,A small child grips onto the red ropes at the playground.,A small child eats a picnic lunch at the park.,2
3484,The boy in swim trunks is laying face down on a watery pavement.,Girl laying on dry pavements,2
3485,A girl is on the sidewalk looking at a white van in the street.,There is a vehicle in the street.,0
3486,"A young person in the middle of a bike jump, with onlookers in the background.",A human on a bike,0
3487,Cancer survivors race for a cure.,Survivors raise money by running a race.,0
3488,A man with a bowtie looks at the camera with no expression.,A man is reading a book on the bench.,2
3489,One man sitting in an Exuma with 3 other men standing around a construction site.,a person is sitiing while others stand.,1
3490,"Hikers treks upward through the creek bed, stopping to catch their breath and enjoy the cool, green scenery.",Tourists walk up from the river to look at the incredible sights.,1
3491,A man with glasses and no shirt looks in the mirror as he shaves.,A man is shaving.,0
3492,A man waterskies.,A man waterskies for a competition.,1
3493,"Three men, dressed in rain gear are standing on the dock of a boat preparing to clean fish.",Three men are preparing to clean the fish they just caught.,1
3494,A blond woman in a fur coat and red hat stands in a doorway.,The woman has black hair.,2
3495,five hikers walk down the hillside.,Five hikers walk down the hillside,0
3496,A man in a fluorescent orange vest and hard hat stands at the top of a yellow ladder fixing a telephone wire.,A man pouring concrete,2
3497,People are playing in water fountains.,The water fountains are very large.,1
3498,A young male mixes food in a bowl with a large stirring stick.,A person is mixing food and a bowl.,0
3499,"two men, one with a bicycle, and a woman waiting to cross the road.",The men are spies.,1
3500,A young boy in a blue shirt skateboard down the street to the local video rental store.,A person skateboarding to pick up their favorite video game at the store.,1
3501,A small child walking up some stairs outside.,The child can walk.,0
3502,People riding horses on the beach.,Riders on horseback weaving down the coastline.,0
3503,"A person wearing a Darth Vader outfit and holding a violin and violin bow, is standing beside a cement wall, and is playing for some people.",Spiderman plays a guitar at the mall.,2
3504,A woman in a striped shirt smoking a cigarette with another woman sitting next to her in a jean jacket.,two women sit together while one smokes,0
3505,"A pedestrian walking under a lovely old tree bare of leaves but green grass underfoot, with building tops showing below.",A pedestrian enjoys walking on a warm winter day.,1
3506,The children are playing in the water.,There are children outdoors.,0
3507,A man dressed in dark clothing with a white undershirt sings into a microphone outdoors.,A man is shaving his face outdoors.,2
3508,A man and a woman are carrying bags down an empty street.,Two people are carrying bags.,0
3509,A large bird swooping down towards the ground.,A large bird about to dive into a creek.,2
3510,An Asian man places his black graduation cap on his head.,the man is american,2
3511,A woman is looking at some green fruits.,A woman is considering buying some fruits.,1
3512,A young man with a large black portfolio is skateboarding on the sidewalk., A young man with a black portfolio is skateboarding dangerously on the sidewalk.,1
3513,A young man wearing a light blue tank top and white culottes is walking around an outdoor fountain and looking at a casually dressed woman.,A man asleep in an outdoor fountain.,2
3514,A hockey player guards the goal.,A high school hockey player is guarding the goal net.,1
3515,A dog shakes off water and gets contorted.,Two ponies fight over hay.,2
3516,"Baskets of fresh cabbage, tomatoes, beans and other produce sit outside in an open air market.","A basket of fruit for sale, $3.99.",1
3517,A group of orchestra musicians playing in a dim room.,A single person standing in the dim room playing a pan flute.,2
3518,A small nude black child is standing on the beach with his feet barely in the water.,A small black child is on the beach.,0
3519,A rainbow shines in the sky as a man is crossing the street.,A rainbow shows as it is still drizzling.,1
3520,"Two women, one in red and the other in white, are out on a jog.",Two woman are outside jogging.,0
3521,A man in a white shirt reads while waiting to sell fruit.,A man is selling fruit while reading.,0
3522,"A woman in a black shirt looks to her right, while a man in a blue vest on her left drinks from a glass.",a woman looking around next to a man having a drinking,0
3523,A man with two dogs on a beach,A man is with two deer on a beach.,2
3524,"A man sits on a bridge by a river, playing the accordion.",The man can play an instrument.,0
3525,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,1
3526,"A guy with an orange, gray and bluejacket pulling a cart down a sidewalk in front of a mural on a building.",A guy pulling a cart fast down a sidewalk.,1
3527,A happy looking couple are dancing while a crowd of others look on.,A couple are dancing in front of a crowd on a stage.,1
3528,Woman is detained by police in front of a crowd of onlookers.,A female is talking on her cell phone.,2
3529,"Two people walking down a city street, one shadowed.",There are people walking in the city.,0
3530,A man in a red hat is sitting on the floor making a craft.,A man in a red hat is standing on a chair.,2
3531,"Four boys in a gymnasium, with one of them practicing a kickboxing move.",Four boys are in a indoor gym.,0
3532,"A man, wearing a flamboyant shirt with red and gray stripes and black pants, bowling a bowling ball down the lane at a tournament.",A man is sleeping.,2
3533,A man wearing work boots and a helmet is driving his motorcycle.,A man is riding his motorcycle.,0
3534,Some people and a goat are on a rooftop in a middle eastern city.,People and animals are on the roof together.,0
3535,Two dogs are fighting over a red Frisbee outside.,The puppies are biting the frisbee.,1
3536,Four boys playing on a merry-go-round in a park.,Four boys are going to the moon.,2
3537,Men throwing tomatoes from a large trash ben.,Some people are tossing food into a container.,1
3538,A child in blue shorts is standing ankle deep in the water.,A child playing on a swingset,2
3539,A woman working on a project has blue dye on her hands.,A woman working on a project has yellow dye on her hands,2
3540,two men are working on a piece of John Deere equipment.,There are two girls working on a minivan.,2
3541,A researcher analyzes the image being displayed from the microscope.,A researcher has the proper tools for analysis work.,0
3542,A person wearing a red and black uniform jumps on a motorbike.,A boy plays in a pool.,2
3543,A man hammering a nail on a piece of wood in bare feet.,A man is hammering a nail barefoot.,0
3544,A man tries to keep balance while surfing,The man is surfing.,0
3545,An Indian family is in their own living room.,A family is at their winter house.,1
3546,Men wearing hard hats and safety vests are working.,There are construction workers working.,0
3547,Skilled snowboarder in bright yellow glides smoothly down a stair rail in the snow.,A man ski's off a jump.,2
3548,Men with shovels work to pick up a pile of dirt from a street.,Men are cleaning after an accident.,1
3549,A man lounges on a red sofa in a furniture showroom.,The man is comfortable.,0
3550,A man and a dog on rocks on a beach.,A man and a dog on rocks on a beach at sunset.,1
3551,"Bicyclists, a woman pushing a child in a stroller, and people sitting in a park.",The woman is resting in the park.,1
3552,A man in a dark jacket with white gloves smokes a cigarette while working with a series of large copper wires.,A man works with some wiring.,0
3553,A football player runs past his competition with the ball.,A sports player dodges his competitors with the ball.,0
3554,A man in a sweatshirt eating a sandwich.,A man eats food.,0
3555,A lady dressed in a peacock outfit at a parade.,A woman at a parade is dressed like a peacock.,0
3556,A crowd of people is walking through a parking lot at night.,a group of people are moving,0
3557,Indian man and women attending a meeting.,Some Indians rolled in the joint.,1
3558,The woman jumps to hit the blue and white volleyball before it lands in the sand.,The hard surface of the gym makes volleyball a quicker sport for the woman.,2
3559,The dog is in the water looking back.,A dog fetches a stick in the water.,1
3560,These are three young black men who appear to be very similar in age and height and facial features.,"Three black men, triplets, stand next to each other",1
3561,Many people walk around at night.,people commuting at night,1
3562,Fellow cowboys watch as a colleague rides a black airborne horse.,Cows graze in a field.,2
3563,"A boy in a green baseball jersey with yellow lettering, lunges forward, his baseball mitt open and ready to receive the approaching baseball.",The boy is eating pizza.,2
3564,A person rappels down a steep incline.,a person is rappelling towards a waterfall,1
3565,A man is talking too a girl on a baseball field.,The man is the girl's father.,1
3566,Two men working beside a trench between two buildings.,The buildings are huge.,1
3567,A woman with glasses and a flower on her shirt is typing on her laptop.,A woman is walking to the store.,2
3568,Men running across a field and playing soccer.,The men are sitting on the ground,2
3569,A man is carrying a bag of yellow balls.,A man is holding a bag.,1
3570,A child is enjoying the ducks on a fall day.,A child plays with ducks on a summer day,2
3571,a man wearing a spiderman outfit with a mask covering his face also.,A man is dressed as Batman.,2
3572,A small child going up a set of stairs.,A tiny person ascends.,0
3573,This worker is feeding tree limbs into a grinder.,Someone complained about the limbs being on the ground.,1
3574,A child with a water noodle.,A child is dancing with his dog.,2
3575,A man working on a train track.,A man is working on the train tracks.,0
3576,A hiker dressed in a t-shirt and shorts rests and admires the orange and red sands surrounding him in the desert.,A person in shorts and short rest and admires a desert surrounding.,0
3577,A woman in a red blouse holding stitch in her one hand and a bottle,A women in red.,0
3578,A person and a young girl sit on a park bench.,Two people sit on a park bench.,0
3579,"Several women, some in scrubs and other with badges, are waiting in a crowd.",Women are waiting in a group.,0
3580,A black man wearing sunglasses drinks from a plastic container while standing next to a Verizon truck.,Nobody is wearing sunglasses.,2
3581,A young man gives another young man advise on sex and dating.,Two brothers are discussing birth control.,1
3582,a mexican man sits under the hood of his truck.,a white woman sings sweetly,2
3583,The Irish Setter is retrieving a flashlight from the pond.,The dog got the flashlight.,0
3584,Two women are on their phones behind a fence while two men sit in front of the fence.,Some people around a blockade outside.,1
3585,Five people are sitting inside a building.,There is nobody in the building.,2
3586,A young man playing Bingo with a Senior Citizen.,a couple of kids play bingo,2
3587,"A bull rider hangs on tightly to a rope around a large, bucking bull's back.",A man is horseback riding through the meadows.,2
3588,A young woman fingers her necklace.,A woman is bored and has a bit of toying with accessories.,1
3589,A father and son take a break.,The dad and son are enjoying their time together.,1
3590,A man stands holding a drink in an urban area.,The man is standing in an urban area.,0
3591,A homeless man holding a sign.,A protestor at a rally holding a sign.,2
3592,a dog swimming through the water,A dog paddles in the lake.,1
3593,People watching air jets in a big event.,People are driving their cars through traffic.,2
3594,A female jogger in white shorts stretches while a man dressed in jogging pants passes by her.,The man passed the woman who was warming up.,0
3595,Two woman are having a conversation with an unknown individual on a sidewalk.,Two women are having a conversation.,0
3596,People holding small american flags.,Dogs holding small american flags.,2
3597,A man playing a game on a tv.,A person playing a game,0
3598,A runner is running past an outdoor flower stall.,A runner zooms past a flower stand.,0
3599,Two dogs are leaping into a swimming pool trying to fetch the yellow toy that is floating in the water.,The dogs love to swim.,1
3600,One yelling child with a neon green 5.00 sticker on his nose.,A child in church being christened,2
3601,The little boy is wearing white shorts.,Boys has on white bottoms playing.,1
3602,A person in a blue kayak battles the waves.,A woman is in a kayak in the ocean.,1
3603,A man in an orange raincoat is discussing something with another man wearing work clothes near a sewer manhole.,It is raining outside.,1
3604,A girl walking wearing a black short-sleeved top and shorts carrying a purse and smoking.,A girl taking a walk down a road outdoors.,0
3605,A young girl with a heart tank top raises her hands as she slides.,A girl is sleeping in bed.,2
3606,A young Hispanic woman in a pink tank top is painting.,the woman likes pink paint,1
3607,A man in a black hat and light blue T-shirt is emptying a white bin with a Target bag and several bags of donations to a Community Food Bank are piled behind him.,a man is donating clothes to charity,1
3608,A woman in a purple sweatshirt is writing something down while another woman looks along.,A woman is using a pen to write on paper,0
3609,A group of people are running a race.,A race is being run.,0
3610,Two men talking as seen from an overhead shot.,There are two men.,0
3611,A man wearing a hat plays guitar for a group of people outside at night.,A man is playing a guitar.,0
3612,An older lady blowing out a 9 and a 0 number candles on a birthday cake.,a woman celebrates her birthday,0
3613,A man is taking a picture of a woman on a crowded street.,A man is taking a picture,0
3614,A biker wearing a red and white outfit is riding a dirt bike on a track.,A biker is trying to win a dirt bike race.,1
3615,A woman is playing tennis while sitting down in the grass.,It is raining outside.,1
3616,"Tree in the foreground, two men playing golf in the background.",Two men in plaid shirts golfing past a tree on a sunny day,1
3617,A woman in a pink shirt is placing her hand over her heart as she rides a horse.,The shirt that the woman is wearing is pink.,0
3618,Three young men are playing around while playing Monopoly at a table.,Three guys playing monopoly.,0
3619,An orange boat with three men in life jackets aboard is making a turn in an ocean setting.,A boy plays with a boat in the tub.,2
3620,A couple kiss while standing in front of a white statue depicting a family.,There is a couple standing,0
3621,A man on a bike with a dog on a leash.,A man is riding a bike.,0
3622,A man with black slacks and red shirt standing in front of a classroom with a whiteboard behind him.,a man in a kilt stands up,2
3623,A girl in a green shirt taking a careful look at an item.,The shirt is red.,2
3624,"Two ladies are seated opposite of each other at a craft table with books, papers, and scissors in front of them as one is observing the other's work.","two females are doing crafts, with one paying attention to the others work",0
3625,Two men stand near a colorful children's bounce house.,The men are getting ready for a child's birthday party.,1
3626,"A Christian man in a vest that states ""Repent of Sin Turn to Christ"" is holding a sign in a busy crowd in a boardwalk that states"" Jesus saves from Hell.""",The man is by a busy crowd.,0
3627,A boxer lands a right hook.,The boxer lands a left hook.,2
3628,People in the Oregon Subway are wearing hats& jackets.,people wearing hats,0
3629,A woman in a string bathing suit with a man on a boardwalk on a foggy day.,A woman is on a date with a man.,1
3630,Two girls bundled up in winter coats pose for a picture.,Two girls taking a selfie in winter,1
3631,A man in a black tank top is sitting and working on a fairly large piece of street art.,An artist is working while sitting.,0
3632,A man wearing glasses is blowing a bubble out of bubble gum in a house.,A man blows a bubble.,0
3633,A young girl in pink pants with white polka dots is studying something in her hand as she sits in a lush forest.,A girl is outside.,0
3634,"A skier lays on his back, arms outstretched, on the snowy ground.",The skier is skiing,2
3635,Three people from a country in the east are dancing on a dance floor.,the people are men,1
3636,A little boy plays with a telescope in a park while a little girl watches.,A boy is playing with a telescope.,0
3637,Two people seem to be planting seeds on a farm.,Two people wearing overalls are planting seeds on a farm.,1
3638,Two people are indoors in a institutional environment and one of them is on the floor.,Two people are playing cards in a hospital.,2
3639,Three men on horseback rope a calf at a rodeo.,Three old men on horseback,1
3640,A man grabs for support as he walks on a scaffold.,A man is falling off a scaffold.,1
3641,A man in a studded belt making a shadow on a wall.,A nude singer in the park.,2
3642,A curly-haired man wearing a long-sleeved gray shirt is sitting bent over and reading a book.,There is straight-haired man wearing a green t-shirt.,2
3643,A small child in a blue jacket is using his yellow pale to water a plant.,A man waters a plant.,2
3644,"Caucasian child wearing a red jacket, Standing near a tree.",A child is wearing red outdoors.,0
3645,Multiple people walking outside in the rain.,People are using an umbrella as they walk in the rain.,1
3646,Female Olympic runners racing in group.,Females are running,0
3647,Ice hockey players battling for the puck around the goalie.,Ice hockey players are playing for the puck.,0
3648,A girl in a blue t-shirt is watching two girls hug.,"In 2016, Han Solo will be 3 years old.",2
3649,"In a busy Asian city, two women walk and talk together.",There are women in a city.,0
3650,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,An older lady teaching a cooking class.,1
3651,A man and a woman are spray painting an image on a wall.,Two friends are swimming in the ocean.,2
3652,A gentleman walking in the street.,A gentleman is on his way to a store.,1
3653,"A man is walking a dog with a pink, lacy collar while enjoying a beer with a friend.",The dog is brown.,1
3654,Two women are talking to a young boy while playing cards.,The women are talking to their nephew.,1
3655,a young boy in a green wheel barrel with a girl pushing him.,the boy is getting pushed,0
3656,A man in a brown shirt and tan shorts is taking a picture of a napkin as he sits on blanket.,The man is having a picnic.,1
3657,An infant plays in an inflatable pool toy.,The infant is happy,1
3658,People are standing outside of Roma Pizza's.,The group is waiting for a pizza.,1
3659,three black dogs swimming in dirty water,Three monkey are in a pool.,2
3660,Three children and two adults walk under large wooden beams.,Some people walk under beams.,0
3661,A man wearing a white hat is shoveling dirt.,A man is a construction worker.,1
3662,A young girl disposes of blue tissue paper off of a pinata.,A girl gets rid of the blue tissue.,0
3663,An dark-skinned little boy with headphones in.,A boy is swimming in a river.,2
3664,A dog biting at its own rear.,A dog is trying to bite at a flea.,1
3665,A man in a white t-shirt painting in the middle of a stone paved road.,A man is painting.,0
3666,A man with a dog is seated at the base of a statue.,The man and the dog walked all round the park and stopped for a rest at the statue,1
3667,A blond woman in a black shirt poses with a yellow star and a book.,A man brushes his teeth.,2
3668,A man is standing in the middle of a road while talking on his cellphone.,The man is arguing on the phone with his wife.,1
3669,A gymnast performs with a hula hoop in front of the winners' stand.,A person competing in a competition for a cash prize.,1
3670,kid throwing sponge at car because hes tired,a kid is eating dinner at home,2
3671,A dog swimming though water holding a stick.,A dog is swimming while holding onto a stick in his mouth to bring it back to its owner.,1
3672,The sun sprinkles light on the train tracks.,The sun is directly above the tracks.,1
3673,A man in a suit is giving a presentation while a lady in a black and white top sits.,Some people are near each other.,0
3674,Four people and the sun.,There are people with the sun out.,0
3675,A woman and child are sledding in the snow.,A woman with her own child are enjoying sledding in the snow together.,1
3676,A man wearing some type of parachuting equipment walks up to a pink and green parachute in an open field.,The man wore parachuting equipment.,0
3677,A man in a yellow waterproof jacket and his companion are on a boat in the open water.,Two people are fishing from the boat.,1
3678,"A man wearing overalls, an orange hat and a yellow shirt is lying on the pavement taking photos with a camera.",A woman is riding a horse taking pictures.,2
3679,A man in taking a photo of a building as someone rides by on a bike.,The man is drawing a picture,2
3680,A group of men and women sit in brown chairs while looking off to the distance.,A group of people are mourning at a funeral staring off into the distance.,1
3681,Four people are holding an american flag in the middle of a bunch of people.,Four people are holding an american flag.,1
3682,Construction workers have a hard job.,Construction is difficult to do.,0
3683,"Boys are selling flowers, drinks, mugs, and other items on the sidewalk.",Boys are selling things outside.,0
3684,A young girl is holding a chicken.,A girl is holding a bird.,0
3685,An old man in orange is holding a cane and looking at a younger male.,A old man and a young man argue.,2
3686,A young boy looks at the camera while wearing a New York hat and a black and white striped shirt.,The camera is fancy.,1
3687,"A baby is playing outdoors on a sunny day sitting in a colorful kids chair playing with toys, biting the top of a blue toy, with a back drop of green grass and neighborhood fence.",The baby is alone.,1
3688,A cyclist is performing tricks on a bicycle while others watch.,Someone is asleep.,2
3689,The woman sits on the steps outside.,The woman walks along a dirt road.,2
3690,"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group watching the laptop.,0
3691,"Men siting on table, with red, green, yellow, and blue umbrella's.","Men are sitting, surrounded by multicolored umbrellas.",0
3692,An informal outdoor gathering of people around a table.,informal gathering of people,1
3693,Six dogs running on the sandy beach.,They are rushing home,1
3694,Two automobiles race each other and pour smoke from behind.,Two cars go fast,0
3695,Two people can be seen in the distance in an alley between two large buildings.,Two people stand in an alleyway.,0
3696,"A man wearing a thick-striped orange shirt, bandanna and dreadlocks at a bowling alley is in a pose as if he just rolled a bowling bowl.","A dreadlocked man appears to have just bowled a ball, and is wearing a bandana and an orange striped shirt.",0
3697,Two older men out in a field about to fly a toy warplane.,Two older guys are prepping a miniature warplane for flight.,0
3698,4 construction workers working on the scaffolding of a building.,The four workers are taking a break by playing jump rope.,2
3699,A woman in a black shirt reading sheet music in front of an organ.,The woman is not wearing clothes.,2
3700,A brown dog swims back to shore after retrieving a yellow tennis ball.,The dog is a pomeranian,1
3701,Two friends hold trophies.,The pair are part of the state championship team.,1
3702,A cyclist wearing a red and black jersey is competing in a race.,A cyclist competing in a race.,0
3703,A woman on a couch is cradling a cat.,A kitten is holding a woman.,2
3704,a man walking in the graveyard.,A man is at the store.,2
3705,two women on a stage dancing in period type costumes.,Women are indoors,0
3706,An adult is pulling a child out of a ball pit.,An adult is pulling a child out of a ball pit for money.,1
3707,A little boy is playing with bubbles in his bathtub.,A boy is dirty and taking a bath.,1
3708,a child in an orange sweater is playing with a child in blue clothes on a white couch under a red painting.,Two kids are sleeping in a tent in the yard.,2
3709,"Five casually dressed, dark-haired young men sit at a table in a restaurant.",five men sits at a table in a restaurant,0
3710,A young girl falls asleep in her father's arms while seated on an airplane.,The flight is headed to Italy.,1
3711,A child in a jester costume standing in front of a television set.,A child wearing a flower costume waits to go trick or treating.,2
3712,A man in a bright yellow jacket and helmet sits astride a motorcycle chatting with a man in a blue sweatshirt.,The men are in CPR training.,2
3713,Two women one in blue the other in pink rollerskating.,Two women are building a snowman.,2
3714,A man in a field is carrying two bundles of straw on a stick across his shoulder.,The man is on a bike,1
3715,A long-haired woman wearing an aqua shirt and white pants watches as a short-haired man wearing a gray shirt and black shorts attempts to pick up a spare at a bowling alley.,A long haired girl and man compete in a friendly bowling match.,1
3716,3 basketball players vying for the ball and one in red jersey trying to take ball from guy in white jersey.,Girls play basketball.,2
3717,Only feet are visible above the water.,Only faces can be seen above water.,2
3718,Four young women around a kitchen counter with a plate of brownies in the foreground.,The women cooked the brownies.,1
3719,A baby in a baseball shirt crawls through a tube.,The baby is sleeping in a crib.,2
3720,A band on stage playing there instruments,Multiple musicians are playing on the stage.,0
3721,2 man standing next to a crossing site,There are 2 men by an intersection,0
3722,A blond woman in a red t-shirt and a blur wristband sings into a microphone against a green background.,The Woman in the red T-Shirt didn't sing very well,2
3723,Redheaded man jumping high in the air.,A blonde headed man eats dinner.,2
3724,People stand and watch from the grassy hill as an airplane soars close overhead.,People are swimming in a lake.,2
3725,"A man is walking down the beach using a metal detector, on a bright sunny day.",A man builds a sandcastle on the beach.,2
3726,A line of horse riders are riding in a field.,There are no animals in the field.,2
3727,Firefighters converse with a man at the scene of an emergency.,The woman talked to the firefighters about the dog.,2
3728,A group of people attending either a concert or a party.,The group of people are standing in a church.,2
3729,A black dog in shallow water.,A dog treads through shallow water.,0
3730,A young father proudly smiles and poses with his two toddlers on a grass field.,Parents stand outside with their two children.,2
3731,Two women doing house cleaning.,Two women are drinking coffee.,2
3732,Five people are jumping in the air for a photo opportunity in front of a fountain.,A group of friends jump in sync to create a unique photo that no one has ever thought of before.,1
3733,a boy wearing rollerblades jumping over a barrel,The boy knows how to skate,1
3734,"A young girl is playing on the shore of a beach, she is running away from a wave.",a young girl is riding a horse,2
3735,Barechested man filming at the beach.,The men is filming for a home movie.,1
3736,Several adults stand and four children sit in front of a small store.,Families wait to enter the store for a big sale.,1
3737,A man in wrestling tights poses in a furious pose on a stage in front of some pyrotechnics.,A man in a karate outfit stands alone in a gym.,2
3738,A tennis player watches the tennis ball.,A soccer player is drinking water,2
3739,Three skiers traverse a wooded snowscape.,Four people walking on the snow.,2
3740,Two girls in black walking down a street.,Two girls conversing about life.,1
3741,Four girls playing soccer on a field as their coach looks on.,The girls are good at soccer.,1
3742,A dog prepares to bite a yellow dog toy.,A dog is running from a boy with a toy,2
3743,Two old men wearing winter coat walking through woods.,The men are walking through the desert.,2
3744,An old man riding his bike along the harbor with a cruise liner in the background.,A man sorts mail.,2
3745,"Five people stand on a bridge while one of the people, a balding man in a brown shirt and jeans, points away from the bridge.",A group of people are dancing on the streets,2
3746,There is a black dog jumping into a swimming pool.,The black dog wants to go for a swim.,1
3747,Two men wearing hats walk by an old wall.,Construction workers tour the project site.,1
3748,A skier catches air over the snow.,The skier is standing at the top of a slope.,2
3749,People practicing yoga in the park.,The people are practicing yoga.,0
3750,A group of friends enjoying the sites while walking with drinks and camera in hand and see a photo opportunity,Nobody is trying to take a photo.,2
3751,A young brunette wearing purple and black floral stretch pants is attaching her bike to a finch.,A girl is fixing her bike.,1
3752,Two men and two women dressed in old English attire hold hands and form a circle on a stage as a young girl runs by.,Four people are holding hands as a young girl runs by.,0
3753,A fireman in action during an intense fire.,A fireman fights a housefire.,1
3754,Three men in uniforms are playing cricket on a field.,The english team wins the cricket match.,1
3755,"Group of people sitting in a circle, with a laptop in the middle",People sitting together around a laptop,0
3756,A man with a white no sleeve shirt and red shorts about to hit a volleyball.,The lady went to the beach.,2
3757,A mix of kids and adults sitting by a tree that has different colored flags hanging around it.,Family sitting by tree,1
3758,Four people are sitting in an enclosure that looks like a half-open eggshell.,The people are sitting.,0
3759,"Two young, white boys, are running from the beach into the ocean.",It is a hot day,1
3760,Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders.,The men are on a vehicle.,0
3761,A man with dark brown hair wearing a gray shirt is making something in the kitchen with a plate of lemons next to him.,A man washes his hands in a bathroom.,2
3762,"A woman running in mud, her foot has splashed in a puddle and is holding something pink.",the woman is running outside,0
3763,A young boy wearing a blue shirt and blue jean shorts hugging a blond-hair little girl.,the boy was celebrating the girls birthday,1
3764,Two children ride their tricycles on a sidewalk in front of a brightly painted wall.,Two men walk together down the sidewalk,2
3765,A woman wearing a yellow shirt runs along a red track.,An old man walks on a track.,2
3766,"A man in an orange apron standing in a kitchen, ostentatiously presenting a plate of food.",The man is inside.,0
3767,Band of gentlemen sitting in a semi circle playing brass instruments at the park,The men also play in nightclubs.,1
3768,A man with long hair and sunglasses is wearing blue clothing and paint while holding a blue guitar on a sidewalk.,"The man, a resident of the local artist's colony, is visiting town to buy supplies and enjoy the afternoon out.",1
3769,A person travels down a wide set of stairs with a bag.,A person travels down the stairs.,0
3770,Six young men out on the balcony wearing blue jeans with their shirts off.,Six young men are showing their bodies off to passing women.,1
3771,two young girls fly a kite.,Two girls fly a kite outside.,1
3772,A person runs with a dog.,A surfer hangs ten.,2
3773,The traffic light could be dangerous the way it is hung.,The traffic light is hung dangerously.,0
3774,A woman in a bowling alley is standing on both feet while watching her bowling ball roll down the aisle.,The woman is at the grocery store.,2
3775,A man with blond-hair getting kissed on each cheek by two women in front of a lighthouse.,A man gets kissed on his cheek by one woman,2
3776,Two adult men and several young men are sitting in the forest.,People are outside.,0
3777,A man in a blue shirt and jeans is laying on rocks.,A man is laying on rocks next to water.,1
3778,Little girl with floaties swimming next to older man standing in the water.,The people are sleeping.,2
3779,"A very pretty girl, in a pink sweater is eating and ice cream cone.",girl tries new flavor,1
3780,"Two girls, the one in the background is wearing black, while the other girl in the foreground is wearing khaki shorts, a purple shirt and sneakers and gesturing like she is blowing a kiss.","Two girls are wearing different outfits, and one is doing something with her mouth.",0
3781,A group of skiers walk across a snow covered sidewalk.,A group of humans are outdoors.,0
3782,A boy in school painting in a book with his finger.,The boy is drawing,2
3783,Two Chinese people stop for a refreshing drink at the mall.,Two Chinese women stop for a refreshing drink at the mall before heading to the cinema.,1
3784,A few young people are spending time with older people in a nursing home.,A few people are spending time with the babies in the nursery.,2
3785,A man in a silly hat holding a wand and a toy helicopter sits in a chair.,A man in a silly hat has his hands full of toys.,0
3786,Men dressed in either theatrical or historical attire riding horses.,The men are riding horses.,0
3787,a young girl jumping into a pool while another stands on the side with an innertube.,Two girls studying at the library.,2
3788,"A male in a black and white bathing suit, looks like he's hanging in midair, getting ready to jump into a backyard pool.",A black male jumping into a backyard pool.,1
3789,A man talking in a meeting with a woman on a laptop beside a projector screen.,A woman is using a computer.,0
3790,A white dog looks at a nervous cow in a mountain setting.,A big animal looking,1
3791,Four Asian people are canoeing in three canoes.,people are canoing,0
3792,Guy in a yellow and purple outfit jumping off a set of stairs.,A man practices his tricks and stunts.,1
3793,An African child smiling at the camera.,The child is happy he just got adopted.,1
3794,Two dogs fighting for the same chew toy.,Two dogs looking at the same toy.,0
3795,A group of children hold balloon animals.,the kids have balloons,0
3796,A man in a red shirt and black pants is breakdancing for an audience.,A man is performing for an audience.,0
3797,A large number of people gather around a body of water.,The people gathered for a picture around the water.,1
3798,Two elderly people sing in microphones while playing instruments.,The people are quietly eating.,2
3799,"Asian male dressed in white, wearing straw hat and gloves, gesturing to people in crowd.","The Mexican male, wearing a straw hat and gloves, gestures to people in the crowd.",2
3800,A man is running and a girl is riding a bike.,A man is running while a girl rides a bike.,0
3801,A little brown dog on the end of a leash who's owner is wearing a blue skirt and black flats.,a dog pulls a woman along,1
3802,A cook in a black shirt and checkered bandanna cooks on an industrial style stove.,A man doesn't know how to cook.,2
