,observation_1,observation_2,hypothesis_1,hypothesis_2,label
4206,Jessica spent too much of her childhood in church.,She's now a mother of 3 at 20 years old.,She never got proper sex education there.,She got lots of proper sex education there.,1
4207,I looked up to see all the dirt on my ceiling fan.,I looked up to see my clean ceiling fan.,I started cleaning my ceiling fan.,I started cleaning nothing.,1
4208,I was really excited I was going to the beach.,I went to swim and enjoy the sunshine.,I put on my swimsuit and sunscreen.,I put on my wool coat and hat.,1
4209,Sarah had just turned 12.,The doctor assured her it was normal and gave her some acne medicine.,Sarah felt her face breaking out.,Sarah felt her face was blemish-free.,1
4210,May had burned her leg with a curling Iron.,She spent the whole day hiding the burn from her mom.,her mother protected her to be careful when curling her hair.,her mother warned her to be careful when curling her hair.,2
4211,I recently got a Netflix subscription.,I had lunch with him that day and realized how much I miss fresh air.,I sat in my house binge watching shows and ignoring my boyfriend all weekend.,I sat in my house binge watching the fish tank and ignoring my boyfriend all weekend.,1
4212,Gina went to Target to buy a new hat.,So she left the store with nothing and went home.,Gina could not find a hat she liked.,Gina found a hat she liked.,1
4213,My 98 year old friend Joe is lonely.,Joe sounded sad.,joe talked about everyone coming to see him.,joe talked about no one coming to see him.,2
4214,Tim went to a friends house.,His mother was happy that she finally had a lovely house.,Tim saw an apartment up for sale.,Tim saw a house up for sale.,2
4215,Ken wanted to play catch with his dad.,He felt bad and went out to play with him.,Ken's dad was too busy and didn't want to play catch.,Ken's dad was too bored and wanted to play catch.,1
4216,Maurice had never liked eating fruit.,"From that day forward, Maurice ate many bananas.",Maurice ate a mango for the first time.,Maurice tried a banana for the first time.,2
4217,I was at the lake last weekend.,I had to run to my car and drive away from the darn ducks.,While I was at the lake a mother duck had just hatched a group of ducklings; she was protecting them aggressively.,While I was at the lake a mother duck had just hatched a group of ducklings; she was protecting them gently.,1
4218,John was walking in the park one day.,The police could not track the teenagers down.,No teenagers harassed John.,Some teenagers harassed John.,2
4219,My friend Joe came from Indiana.,His wife told him to put away his guns.,Joe had no guns at all.,Joe had an arsenal of guns.,2
4220,Ro's dad invited her to play golf.,Ro was glad she had agreed to go.,Ro had a lot of fun playing golf.,Ro injured herself playing golf.,1
4221,Ali sat on the swing at recess crying.,Ali's friend June decided to tell a teacher about the incident.,the teacher came up and laughed at what happened.,the teacher came up and asked what happened.,2
4222,Bonnie loved playing volleyball.,Bonnie's team ended up losing the game.,Bonnie joined a volleyball team.,Bonnie joined a commune.,1
4223,Jeff was up for a promotion in which he would have to interview for.,He was pleased when he was given the promotion.,Jeff practiced in the mirror for the interview.,Jeff spent the day drinking instead of preparing.,1
4224,I learned how to use Facetime the other day.,My niece loves to Facetime me all the time now.,I decided to call me niece so we can Facetime.,I decided to call my nephew so we can Facetime one another.,1
4225,Ally's husband told her he was cheating on their marriage.,They fell in love and Ally decided to stay in Fiji.,Ally took time away in Fiji to think with a friend.,Ally's took time away in Fiji to not think with Ally.,1
4226,Ava's parents got a new puppy.,"Very soon, Ava loved her family's new puppy!","At first, Ava hated the puppy.",At first the puppy hated Ava.,1
4227,Anna wanted a banana milkshake.,Anna thought her own milkshake tasted just as delicious.,Anna found a recipe and made her own.,Anna found a recipe and made a lasagna.,1
4228,When Phil left his position as head pastor he was relieved.,Now he is bored because he has too much free time on his hands.,Phil did nothing for a month.,phil built a house in a month.,1
4229,Dave head up a bank teller at gunpoint and demanded all the money.,The note said he hoped to see him at the next reunion.,dave found a note in his inbox.,Dave passed a secret note to the teller.,2
4230,Sam never went out at night.,The beautiful stars made him fall in love with the night forever.,"While walking home, Sam finally noticed the night sky.","While walking home, Sam finally noticed the sunny sky.",1
4231,A new store at the mall was handing out candy for Halloween.,"At the end of the day, it was a good business event for the new store.",So bunch of kids from the neighborhood dressed up and went down to the store for candy.,So a bunch of kids from the neighborhood dressed up and went down to the empty store for candy.,1
4232,Every year we all put of the tree.,My father wouldn't be here this Christmas.,This year my father joined us.,This year is sad because we have lost a family member.,2
4233,Marge and Ivan were drinking a chocolate shake together.,Now they didn't have to share.,Marge and Ivan's waitress gave them an empty glass.,Marge and Ivan's waitress gave them an empty soup can.,1
4234,"In a small town in Idaho, Tom wanted to have fun during the winter.",They spend the entire day having fun skiing in the snow.,A snow storm came.,A rain storm came.,1
4235,Freddy decided to buy a new truck.,Freddy now cruises around town in his new truck.,Freddy's truck always broke down.,Freddy had the best truck in town.,2
4236,I was constipated.,I developed diarrhea.,I ate a high protein meal.,I ate a high fiber meal.,2
4237,Timothy has a big test tomorrow.,Timothy is well prepared for the test the next morning.,Timothy studied for five minutes.,Timothy studied all night.,2
4238,Stephen went to Time square,He was amazed the entire time.,He looked at the famous sights all around.,Stephan ended up getting robbed and beat up on a side street.,1
4239,Portia loves walking through the woods nearby her house.,She is happy with her selection.,She went to the store and got new biking clothes.,She went to the store and got new hiking clothes.,2
4240,Tom was good at playing darts.,The dart flew passed the board and into someone's drink.,Someone almost hit Tom's arm when he threw the dart.,Someone hit Tom's arm while he threw the dart.,2
4241,The nurse took Jared's vital signs first.,She left the room and closed the door.,Then the nurse answered Jared's questions.,Then the nurse answered Jared's signs.,1
4242,Family was on vacation in Disneyland.,I got scared but they laughed.,We skipped the Tower of Terror.,We rode the Tower of Terror.,2
4243,After playing outside in the snow Jemma was feeling quite chilly!,"When the cup was empty, Jemma felt warm and satisfied.",Jamma had some cold chocolate.,Jemma had some hot chocolate.,2
4244,Mike had just bought some pre-made sandwiches from the store.,He threw theirs out and replaced it with fresh lettuce.,The sandwiches were two days old and Mike notice the lettuce on them was turning brown.,The sushi was two days old and Mike notice the rice on them was turning brown.,1
4245,Wendy really wanted a new pair of louboutins.,She immediately picked those up and purchased them.,Wendy could not found an orange pair.,Wendy found an orange pair.,2
4246,The cat jumped off the sofa.,The cat was able to walk.,He fell on his side and struggled to get up for a while.,He fell on his side and broke his legs.,1
4247,Hal loved to play jacks.,He often thinks of the days where his only care was playing jacks.,For a long time he had nothing to do but play jacks but one day all this changed.,For a long time he had nothing to do but play soccer but one day all this changed.,1
4248,Lucy and her grandma were at church on a Sunday.,"Lucy decided she would go home to change, then visit the new friend.",Lucy madr church friends.,Lucy failed to make church friends.,1
4249,Clint loved his biology class.,His teacher let him help with setup and he became the TA.,Clint asked his teacher if he could help out in class.,clint asked his teacher if he could be his robbery accomplice.,1
4250,Tammy fell in love with a pair of heels at the mall.,She bought a bigger pair but couldn't walk in them.,Tammy tried shoes with wheels.,Tammy tried shoes with heels.,2
4251,Bill was a creepy guy.,Bill kept on being creepy his whole life.,bill creeped out a lot of people.,A lot of people creeped out Bill.,1
4252,It was Elizabeth's fifth birthday.,"Despite Elizabeth's permanent facial scars, she is now a fashion model",Elizabeth's facial scars were very attractive.,Elizabeth was made fun of because of injuries to her face.,2
4253,"During a movie night, I was craving food.","Twenty minutes later, my food arrived at my house.",I drank water to kill the cravings.,I placed a delivery to my house.,2
4254,The other day I was talking on my cell phone to my friend.,Luckily it had a protector on it so it was okay.,"While talking to my friend, I dropped my phone.","While I was talking to my friend, I dropped my keys.",1
4255,Eric was looking at his recent purchase at the art supply store.,Not much else was going on so he figured he would give it a try.,Eric wanted to stay with the same medium.,Eric wanted to try a new medium.,2
4256,All of Javier's friends at school have smartphones.,But then he misses his old phone.,Javier gets rid of his old phone and gets a new one.,Javier keeps his old phone.,1
4257,"Emily was going to jail, and she was excited.",Today was her first day as a corrections officer!,Most people are not disinterested to go to jail.But...,Most people are not excited to go to jail.But...,2
4258,Renee was inspired by the music of Eddie Van Halen.,Renee decided she would have to get used to it.,but had a cat instead.,"She wanted to see the band in concert, but discovered that the band no longer performs.",2
4259,This summer I had a full-time job at Parrot Cove Boat Rentals.,"Most days at Parrot Cove were busy, but that day was just fun.",There was a sparse crowd at Parrot cove.,There was a heavy crowd at Parrot cove.,2
4260,"John was on a walk through town, when a man came running behind him.","The woman was very grateful, and they became friends.",The man needed John's help to pull his wife from their burning car.,"The man needed John's help to remove his wife from their burning car, but he refused.",1
4261,The girls decided to go get pedicures.,Their pedicure very relaxing.,The girls went to the movies.,The girls went to the salon.,2
4262,May had burned her leg with a curling Iron.,She spent the whole day hiding the burn from her mom.,May's mom told her not to use the iron.,May told her mom not to use the iron.,1
4263,My dog was in the backyard.,"From then on, my dog began to kill snakes for bones.",I heard barking and then saw my panda chewing.,I heard barking and then saw my dog chewing.,2
4264,Lana went swimming in the ocean.,She looked down and realized it was only seaweed.,She thought sea creatures were all over her legs.,She thought seaweed was all over her legs.,1
4265,Chris was sick and tired of being sick and tired.,He soon felt much better and changed his life for the better.,He decided to end his life there and then.,Chris joined a gym and started working out.,2
4266,Jessie's sister-in-law was pregnant.,Jessie rushed to the hospital to comfort her brother and his wife.,Jessie was taken to the hospital for delivery.,Jessie's sister-in-law was taken to the hospital for delivery.,2
4267,"After being injured, Tommy needed to go to the doctor.",Tommy was then badly injured.,Bud Tommy didn't go to the doctor.,But Tommy went to the doctor.,1
4268,Evan signed up for a cooking class in school.,In a few months he could make seven-course meals!,Evan was a fast learner.,Evan was a slow learner.,1
4269,"Gina had taken the streets on a icy, snowy day.","It was packed with traffic, but at least the roads were clear.",The streets were cluttered with crashed cars.,The streets became clearer because the salt trucks were out.,2
4270,Zach was getting tired of living with Jen.,Weird how Zach is now happier than he was in a house with Jen.,Zach then got his own pouch.,Zach then got his own place.,2
4271,Judy felt she had nothing to talk about to co-workers.,Judy continued inventing a life from stories on her soap operas.,judy was always isolated growing up.,Judy was never isolated while growing up.,1
4272,Tony had a pet turkey in his backyard.,Tony felt bad for selling his friend to be eaten for money.,Tony's finances were bad.,The turkey's finances were bad.,1
4273,A girl named Julie in pigtails asked the vendor for cotton candy.,"Julie skipped away happily, and the man smiled.",The man had cotton socks.,The man had cotton candy.,2
4274,Tammy fell in love with a pair of heels at the mall.,She bought a bigger pair but couldn't walk in them.,Tammy tried shoes that were flat.,Tammy tried shoes with heels.,2
4275,Becky and Hallie were home alone without any other kids.,They played Barbies all night long.,Becky and Hallie hated playing Barbies.,Becky and Hallie loved playing Barbies.,2
4276,Fred was walking through his school hallway.,"When Fred got to the library, he dropped his books off and left.",Fred was in a hurry to return his non-study books.,Fred was in a hurry to return his library books.,2
4277,"When Nathan got home, he was looking for his homework.",He threw the remains away and did the homework all over again.,Nathan then noticed that his dog chewed on it.,Nathan then noticed that his dog peed on the sandwich.,1
4278,Emily was tired of the poor quality of apples at her local store.,Emily picked her first apple of the tree and enjoyed the sweet taste.,Emily decided to stop eating apples.,Emily decided to try fresh apples.,2
4279,Denise received a promotion at her secondary job.,The dishonest woman was reprimanded and fired soon after.,Denise soon realized that the promotion was a total success.,Denise soon realized that the promotion was a scam.,2
4280,Bill is not feeling well on Monday.,Bill regrets not toughing it out on Monday.,Bill missed out on a work contest for an Iphone.,Bill participated in a work contest for an iPhone.,1
4281,A man watched the sky to look for rare birds.,When the bomb hit he was killed instantly.,The next thing he knew there was a loud sound.,The next thing he knew there was a quiet noise.,1
4282,Gerard was performing a show on his birthday.,Gerard was very happy and performed an encore.,Gerard's friends were not attentive.,Gerard's friends were very attentive.,2
4283,Seth has worked at the air conditioning factory for six Year's.,Seth thinks it is a good idea to update his resume.,"It's been a while, and Seth is considering a career change.",Seth is thinking about changing jobs.,2
4284,Charles' mother said her son had an anger management problem.,"He wrote scathing emails to her, and she said, see you have a problem.",Charles found out what his mother said about him.,Charles found out what his brother said about him.,1
4285,I was walking home from school.,He threatened the guy to go away or else he would get hurt.,A guy started to follow me and my friend ran away.,A guy start to follow me and my friend saw.,2
4286,"Shay loved to read, and she was always buried in a book.","She became an editor, and still got paid to read every day!",Shay studied journalism in college.,Shay dropped out of studying journalism in college.,1
4287,Jim decided he wanted to run a marathon.,He celebrated his accomplishment with friends and family,Jim inapt and eventually ran a walkathon.,Jim trained and eventually ran a marathon.,2
4288,Tim's history class was first thing in the morning.,Tim's teacher praised his attentiveness.,Tim was a morning person and was early each day to class.,Tim's alarm didn't go off and was late to class.,1
4289,The gambler looked at his hand and was quite pleased.,"Once they flipped over their cards, the gambler was declared the loser.",Gambler was sure there was no way he would lose.,Gambler was sure there was no way he would win.,1
4290,My youngest nephew came to stay with us for a weekend.,I was elated to see his parents come and pick him up.,It was fun having a little one around.,It was exhausting having a little one around.,2
4291,Gina looked up at the icy hill through her windshield.,She was still stuck and would need to try again.,Gina's car had stayed on the road and she was almost home.,Gina's car had skidded off the road and she was trapped in a ditch.,2
4292,"After nine months of waiting, it was Tina's big day.",Tina was having twins!,Tina finally gave birth to her baby.,She lost the babies during birth. She was expecting triplets.,1
4293,I bought a new pair of shoes online.,"In the end I was disappointed, because I had expected better quality.",The shoes were exactly what I expected.,The shoes were not what I expected.,2
4294,Nya had been asked on a paintball trip with friends.,She loved it so much she planned a trip for the next week.,She went and had an awful time.,She went and it was fun.,2
4295,Lewis knew the cave like the back of his hand.,Lewis laughed and told them not be afraid of the bats.,Lewis was unaware there were bats in the cave.,Lewis knew there were bats in the cave.,2
4296,Timothy has a big test tomorrow.,Timothy is well prepared for the test the next morning.,Timothy stayed in and studied for his upcoming test.,Timothy stayed in but forgot his upcoming test.,1
4297,Jenny had always wanted to try making bagels.,"Sighing, she decided the grocery stores knew what they were doing.",Jenny's dough was too fat and would  form a shape.,Jenny's dough was too thin and wouldn't form a shape.,2
4298,John completed his taxes online.,When he fixed it he determined he was going to get money back!,John was relieved to be done.,John's computer froze up and all the data he inputted was lost.,1
4299,Joe went out to eat last night.,Just another reason Joe is one of the nicest people I know.,Joe paid for everyone in our dinner party.,Joe paid for everyone in our dinner chore.,1
4300,Terry was on his way home,Terry ended up driving home happily.,Terry found a surprise.,Terry found an accident.,1
4301,I was driving a truck.,"Alas, I crashed the truck!",I responded to a text that my best friend sent me.,I ignored a text that my best friend sent me.,1
4302,Thomas was at the arcade.,He ended up earning some good money.,Thomas got the high score on one game.,Thomas got the lowest score on one game.,1
4303,I had a paper cut on my hand.,Now I know to be more careful when I have a paper cut.,I got some salt in my paper cut when I was eating lunch.,I got some hamburger buns in my paper cut when I was eating lunch.,1
4304,Ava was skiing one day.,She hadn't known she could burn in the winter.,She didn't wear gloves and was frostbitten.,She didn't wear gloves and was cold.,1
4305,Marilyn was going to get her first tattoo.,She ended up going with a flower.,Marilyn looked through the tattoo examples book.,Marilyn looked through the children's book.,1
4306,Kane was taking a late night walk in the streets.,"Instead of calling the cops, she ran away due to her anxiety.",A women spotted Kane and walked away.,A women spotted Kane.,2
4307,Tim worked as a valet.,They had fun on the job.,Tim got to drive different styles of vehicles.,Tim got to drive different styles of bikes.,1
4308,Sally just got a brand new car.,Her brand new car looked amazing with its new chrome rims.,Sally bought new rims.,Sally crashed the car.,1
4309,Jane worked as a nanny.,She continued working and did not care what they thought.,The kids she babysit did not like her.,The kids she babysat loved her!.,1
4310,Brian wanted to go mountain climbing.,Because of the severe weather Brain had to go back home.,"Brian went to the swimming hole and then as soon as he arrived, it started drizzling.","Brian went to the mountain climbing site and then as soon as he arrived, it started raining.",2
4311,Ralph noticed his dog's start to pace nervously.,He then got his dogs a treat so that they could calm down.,Ralph ran by and ignored the dog.,Ralph sat down and talked to the dog.,2
4312,"This morning, Sarah went to McDonald's for breakfast.",She was sad when she left the restaurant.,McDonald's didn't have what Sarah wanted.,McDonald's didn't have what Sarah was allergic to.,1
4313,Tom went to school one day.,She doesn't accept late students.,Tom ate but was no one got into trouble.,Tom was late but was hoping he wouldn't get into trouble.,2
4314,The Lee family was having appliances installed.,They were able to spend hours playing and using their imaginations.,The decided to cook for hours.,They could not cook for hours.,2
4315,My husband and I moved to Florida one year ago this December.,It started snowing with ice sticking on the roads.,We drove back to Mexico to see our parents.,We drove back to Maine to see our parents.,2
4316,Nick just became a personal trainer.,Nick now has over twenty clients!,Nick has been advertising his personal babysitting services.,Nick has been advertising his personal training services.,2
4317,Dave was the best detective in the world.,He solved it immediately and shocked everybody.,"Dave got a simple, routine case.",Dave got a really hard case.,2
4318,Kerry wanted to get a new puppy.,Kerry got a new puppy!,Kerry murdered her parents and got caught.,Kerry begged her parents.,2
4319,Ian wanted a pool.,Ian was glad that he learned how to swim though.,Ian was worried about drowning and decide not to get a pool.,Ian was worried about drowning.,2
4320,Tom was at his first day of school.,The hall monitor saw him and helped him directly to his class.,The hall monitor dropped his books in the hallway.,Tom dropped his books in the hallway.,2
4321,A girl named Julie in pigtails asked the vendor for cotton candy.,"Julie skipped away happily, and the man smiled.",Julie  gave the vendor what he wanted.,The vendor gave Julie what she wanted.,2
4322,Ella needed a uniform for her new school.,Ella bought a fresh new uniform for her new school!,Ellen asked no one but herself for money.,Ellen asked her mother for money.,2
4323,Dan likes cookies.,"Now, Dan owns a cookie bakery!",So he went to school but never became a baker.,So he went to school to become a baker.,2
4324,Jane loved to go horseback riding.,"After she recovered, Jane got right back to riding.",Jane threw a prized horse while out riding.,jane was thrown off a prized horse while out riding.,2
4325,Last spring I bought a bunch of lilies and tulips on sale.,Next spring I will have a host of beautiful flowers to enjoy!,I planted the tulips and lilies.,I returned the tulips and lilies  and got hedges.,1
4326,Sam kept making fun of Billy's new hair-do.,The school's nurse had to take her to the clinic.,Billy got mad and fell down the stairs.,Billy got mad and pushed Sam down the stairs.,2
4327,Renee was inspired by the music of Eddie Van Halen.,Renee decided she would have to get used to it.,Renee started learning guitar and it hurt her hands.,Renee started learning how to cook and it hurt her hands.,1
4328,Ben took his ATV to the beach.,He had a great time riding his ATV!,Ben lost his ATV.,Ben had the right tires.,2
4329,The family decided to go on vacation.,The family was sad when they had to leave.,The family went to their favorite beach.,The family went to their grandma's and left early.,1
4330,It was one of the worst storms I remember.,It was one of the worst weeks of my life!,We were without power for a minute.,We were without power all week.,2
4331,Will said he was going to be the best actor of all time.,"That led to an acting career, and now he is the best actor ever.","Will got a break, playing a bit role in a movie.","Will got a break, playing the lead in a movie.",2
4332,Tanner had always been afraid of roller coasters.,Tanner and his brother went on the roller coaster three more times.,Tanner faced his fear and rode the roller coaster.,Tanner didn't like facing fear.,1
4333,Charles liked to cook taco burritos.,"About a year later, that guy saw Charles and bought him dinner.",Charles gave some sushi to a guy he met.,He gave some taco burritos to a guy he met.,2
4334,Megan never finished school and had a lot of trouble reading.,The teacher helped Megan learn to read and they became good friends.,Megan met a horrible teacher.,Megan met a kind teacher.,2
4335,Jack had saved up enough money to buy a new video game.,Jack played his new video game all afternoon!,Jack went straight home after buying the video game.,Jack went straight to school after buying the video game.,1
4336,My sister and I wanted something sweet to eat.,We both purchased two cookies each.,My sister and I went to the bakery.,My sister and I went to the shoe store.,1
4337,Nina was throwing a party for the first day of summer.,Nina was glad that the forecast had been wrong.,The weatherman said it was going to be sunny.,The weatherman said it was going to rain.,2
4338,Nina was headed to college in Arkansas.,"They hung out everyday, after the first day.",Nina became good friends with her roommate Mary.,Nina became bitter enemies with her roommate Mary.,1
4339,Ben was working on building muscles.,Ben found that that made the eggs much easier to swallow!,"Ben tried to drink raw eggs like Rocky and found them to be delicious, so he didn't try mixing sugar with them.","Ben tried to drink raw eggs like Rocky and found them to be gross, so he tried mixing sugar with them.",2
4340,Every day Bob leaves for work very early in the morning.,"The paper stopped coming early enough, so he cancelled it.",His morning tradition was to sit and shoot his shotgun before heading for work.,His morning tradition was to sit and read the paper before heading for work.,2
4341,Bailey had always seen herself attending college in the south.,Bailey was devastated to receive the rejection letter from Auburn.,Bailey applied to Auburn.,Bailey applied to Yale.,1
4342,Ben enjoyed running and thought that he was pretty good at it.,"Although he didn't win his race, Ben was very proud of himself.",Ben decided to race for money.,Ben decided to race for charity.,2
4343,Anna had just had a baby.,"Sure enough, the baby soon latched on securely!",Anna knew the baby would nurse poorly.,Anna hoped the baby would nurse well.,2
4344,Ana weighed herself constantly.,Ana was much happier without the scale!,Ana threw away her scale.,Ana bought a new scale.,1
4345,Ada's school was passing out Valentines.,There were a dozen valentines stuffed into her locker!,Ada missed her friends.,Ada had many friends.,2
4346,Amy was pleased to find a good parking spot at work.,When wiped off the substance scratched her paint.,Later she found egg bombs on her parking spot.,Later she found egg bombs on her car door.,2
4347,It was a week until pay day and I was out of money.,"Holding my breath, I scratched it and won $10!",I used my last dollar for a lottery ticket.,I used my last dollar for a soda.,1
4348,Ryan was called by his friend to skip work one day.,Ryan got fired.,Ryan thought it was a prank and he did go to work.,Ryan didn't know that it was a prank and did not go to work.,2
4349,Jan had to pick up her daughter after class.,And saw the biggest bear she had ever seen.,She walked to the woods through the school.,She drove to the school through the woods.,2
4350,One of Jeff's goals is to squat three hundred pounds.,He now squats well over three hundred pounds.,Jeff practiced ice sculpting every day.,he practiced every day.,2
4351,Bob was in track.,He was caught and barred from the Olympics.,The Olympic track team requires an IQ test.,The Olympic track team requires a drug test.,2
4352,Audra put her dog outside to use the bathroom.,She then saw her Great Dane sprinting away.,Audra jumped the fence.,Audra's dog jumped the fence.,2
4353,I've been begging my parents for a car since I was 12.,"It was a 1980 beat up truck, and it was a dream come true.","When I got my driver's license, my parents took me to the used car lot to find something inexpensive.","When I got my driver's license, my parents took me to the used car lot to find something very expensive.",1
4354,Bob moved into his new college dormitory.,"Sure enough, his clothes were ruined.",Bob left his clothes in the closet.,Bob left his clothes outside.,2
4355,Kerry wanted to get a new puppy.,Kerry got a new puppy!,"When Kerry was older than her parents, they decided she was ready for a pet.","When Kerry was old enough, her parents decided she was ready for a pet.",2
4356,The wind was howling.,He made the best of it and went to sleep.,He tried headphones but he could still hear the dog outside.,He tried headphones but he could still hear outside.,2
4357,Jerry was trying to impress a girl.,Jerry was able to ask the girl out on a date.,He dressed down and bought himself candy.,He dressed up and brought her roses.,2
4358,Luke came running down the stairs as fast as he could.,Star Trek was on TV and mom had made popcorn!,Luke called for his mom and dove on the couch.,Luke ran outside to play.,1
4359,Going to the bookstore was a spur of the moment decision.,I enjoyed the trip.,It was a snowy day and I drove there with the top down.,It was a beautiful day and I drove there with the top down.,2
4360,Eli predicted the stock market trends on a lark.,Eli's friends were angry when they lost money on their purchases.,Eli's friends didn't listen to the predictions.,Eli's friends didn't listen to music.,1
4361,Tammy liked to listen to music.,She had lost 50% of her hearing.,Tammy listened to music too quietly.,Tammy listened to music too loud.,2
4362,Ed left his apartment for work.,Ed was able to get back inside and get his key.,Ed left his key inside his apartment.,"Ed realized that he had thrown the key into the garbage, and now that bin was gone.",1
4363,Katelyn went to the mall one day.,"Suddenly, her cat lunged at the hat, almost knocking Katelyn over.",Katelyn bought mittens that looked like a mouse.,Katelyn bought a hat that looked like a mouse.,2
4364,Martha was scrolling through her Twitter feed.,She immediately started sharing the link on her personal accounts.,Martha found nothing funny on Twitter.,Martha found a funny tweet.,2
4365,Tim took a shower in the morning.,His kid was laughing the whole time.,Tim put his underwear on backwards.,Tim put his shirt on backwards.,2
4366,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",It started to snow.,It started to rain.,2
4367,Avery and Connor are two kids who live in my building.,As I left I complimented their mom about the kids' helpfulness.,I helped both of them with their bags the other day when they were moving.,They both helped me with my bags the other day when i was moving.,2
4368,Some deer were in my backyard this morning.,The turkey spent the night in my shrubs.,The tiger got scared.,The turkey got scared.,2
4369,I always wanted a pet.,I decided to buy the kitten!,Then I saw my friend's adorable puppy.,Then I saw my friends baby kitten.,2
4370,Jane loved to ride her bike.,It was great exercise for Jane.,She rode her car everywhere as much as she could.,She rode her bike everywhere as much as she could.,2
4371,Francine had always wanted to play the trombone.,Francine was very happy that she could finally play trombone.,Francine did not sign up for lessons.,Francine signed up for lessons.,2
4372,Tonya was walking home from the grocery store.,"Luckily, a man stopped to help her gather everything.",Tonya's bags broke while she was walking.,Tonya's bags broke while she was anti-strutting.,1
4373,Amy hated having a dirty car.,She was upset but figured the inside was detailed at least.,She was satisfied with the job the car wash did.,She wasn't satisfied with the job the car wash did.,2
4374,We made christmas cookies this weekend.,The end results was tons of cookies for everyone to share.,We all made cookies.,We all made beef stew.,1
4375,Ty needed some extra cash.,When winter ended he had saved over five hundred dollars!,Ty got a part-time job through the winter.,Ty quit his part-time job through the winter.,1
4376,Rey's father took him to the playground.,His father complained to the city.,There were needles on the ground.,The park was clean.,1
4377,When I woke up this morning I was greeted by the sound of birds.,Listening to birds in the morning makes me happy.,I really regretted that moment a lot.,I really enjoyed that moment a lot.,2
4378,Ned had just had an inground pool installed.,Then Ned used the hose to fill his new swimming pool.,It was a rainy day that was awful for swimming.,It was a hot day that was perfect for swimming.,2
4379,Sara went to the kitchen to get a can of tuna.,She then hit it with the claw side and it opened a little.,Sara was having trouble opening the door.,Sara was having trouble opening the can.,2
4380,Landes wanted to learn how to play chess.,Landes came in 3rd place in the contest.,Landes took lessons and entered a contest.,"""Landes quit lessons and entered a contest.",1
4381,A guy came up to me at a bar asking to see my shirt.,Overall I'd say it was worth it.,The guy offered me 100 dollars for the shirt.,The guy offered me 1 dollar for the shirt.,1
4382,Johann decides he wants to make dinner.,Johann is disappointed that he has overcooked his kale for dinner.,Johann decided to cook steak and potatoes for the first time.,Johann decided to cook kale for the first time.,2
4383,John is really good at playing chess.,"Eventually Mary won, Mark was right, and John was shocked.",John beat Mary at chess.,mary beat john at chess.,2
4384,Penelope's family announced that they were having a new baby!,"Just before Easter, Penelope got her wish -- a sister named Sadie.",Penelope wished so much to have a little brother.,Penelope wished so much to have a little sister.,2
4385,Allie lost 50 pounds.,Allie gained all the weight back she had lost.,Allie continued her healthy habits.,Allie stopped eating healthy and working out.,2
4386,John was always slow at math.,John later threw away the award.,John tried hard but didn't earn an award.,John tried hard and earned the most improved award.,2
4387,Jasmine was going to make a bowl of cereal.,"Finally, she gave up and washed a bowl herself.",She went to the kitchen and all the bowls were dirty in the sink.,Jasmine found her favorite bowl for cereal.,1
4388,Lilly and Al's dad warned them to look out for sharks in the water.,They were so scared they ran screaming out of the water.,Lilly and Al saw something dark.,Lily and Al played in the water safely all day.,1
4389,Janet loved gymnastics.,She still hangs it proudly on her wall.,Janet skipped her last gymnastics meet.,Janet earned a first place medal at the gymnastics meet.,2
4390,A new Organic Avenue store opened up in NYC and I checked it out.,I decided never to go back to that restaurant.,The food was too expensive for the quality.,The food was too delicious for most people.,1
4391,Ben went to his favorite cafe on his birthday.,He left the waiter a large tip.,The waiter was solicitous in getting Ben everything he wanted.,The waiter was horrible at getting Ben everything he wanted.,1
4392,Johnny was supposed to be going home after vacation.,At the end of the day he caught his flight home.,Johnny's flight got delayed.,Johnny's flight was on time.,1
4393,A woman was ordering her favorite coffee from the barista.,So she gave the woman her favorite sweater to replace her outfit.,The barista spilled the tea on her.,The barista spilled it on her.,2
4394,Marco never asked a girl to a school dance.,And during the first slow dance he stepped on her toes and fell down.,Marco finally decided to never ask a girl to the dance.,Marco finally decided to ask a girl to the dance.,2
4395,Frank talked during class.,Frank never talked during class again.,Frank got yelled at by the teacher.,Frank feel asleep during class.,1
4396,Ben had to cram information for an exam tomorrow.,He kept falling asleep during the test since he didn't sleep well.,Ben studied all night to prepare for the exam.,Ben played video games all night to avoid the exam.,1
4397,I decided to go on vacation for a week.,I realized I should take better care of my plants.,"While I was away, all of my planets died.",while i was on a trip all of my planes died.,1
4398,Paul woke up and felt cold.,Paul wore both his hoodie and rain coat to work.,It was very cold and rainy in Russia.,It was very cold and rainy outside.,2
4399,Bobby couldn't remember how he acquired so many pillows.,They told him that they'd been quietly bringing him things for Years.,His family told him it was due to his old age.,His family told him it was due to his housekeeper.,1
4400,As a little kid I never got to play catch.,It wasn't the same but it kept me busy.,"When I was older, I learned how to play catch.",When I was younger I learned how to lay hatch.,1
4401,James has just started working at a company with a ping pong table.,"So, James bought a ping pong table to practice at home.","James lost to his coworkers, but had a fun time.",James and his coworkers never played much.,1
